mean 8C,lower SD 8C,upper SD 8C,mean 11C,lower SD 11C,upper SD 11C,mean  14C,lower SD 14C,upper SD 14C
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1.075268817,0,2.595928562,0,0,0
0,0,0,1.075268817,0,2.595928562,0,0,0
1.075268817,0,2.595928562,3.225806452,0.591946513,5.85966639,1.075268817,0,2.595928562
2.150537634,0,5.191857123,6.451612903,1.183893026,11.71933278,5.376344086,0,10.85916077
6.451612903,0,13.42015129,11.82795699,3.361281856,20.29463212,7.52688172,0.898479567,14.15528387
12.90322581,1.422496503,24.38395511,27.95698925,8.188412569,47.72556593,9.677419355,0.180902294,19.17393642
23.65591398,4.969734197,42.34209376,32.25806452,9.29660591,55.21952312,11.82795699,1.183338778,22.4725752
30.10752688,10.3389502,49.87610356,37.6344086,10.73119139,64.53762581,12.90322581,0.833363268,24.97308834
38.70967742,14.56995234,62.8494025,37.6344086,10.73119139,64.53762581,13.97849462,2.101762347,25.8552269
49.46236559,28.33668526,70.58804592,37.6344086,10.73119139,64.53762581,13.97849462,2.101762347,25.8552269
54.83870968,35.84567556,73.8317438,38.70967742,10.83552388,66.58383096,13.97849462,2.101762347,25.8552269
60.21505376,41.52887398,78.90123355,38.70967742,10.83552388,66.58383096,15.05376344,1.796959133,28.31056775
61.29032258,44.01894795,78.56169721,40.86021505,10.90669188,70.81373823,15.05376344,1.796959133,28.31056775
63.44086022,48.93469079,77.94702964,41.93548387,10.88273317,72.98823458,15.05376344,1.796959133,28.31056775
66.66666667,56.02204846,77.31128488,43.01075269,11.5878727,74.43363268,15.05376344,1.796959133,28.31056775
70.96774194,61.47122487,80.464259,43.01075269,11.5878727,74.43363268,15.05376344,1.796959133,28.31056775
75.2688172,69.18617823,81.35145618,43.01075269,11.5878727,74.43363268,15.05376344,1.796959133,28.31056775
76.34408602,70.86126934,81.8269027,45.16129032,11.5344177,78.78816295,16.12903226,2.959732566,29.29833195
76.34408602,70.86126934,81.8269027,45.16129032,11.5344177,78.78816295,16.12903226,2.959732566,29.29833195
77.41935484,70.45081645,84.38789322,45.16129032,11.5344177,78.78816295,16.12903226,2.959732566,29.29833195
77.41935484,70.45081645,84.38789322,45.16129032,11.5344177,78.78816295,16.12903226,2.959732566,29.29833195
77.41935484,70.45081645,84.38789322,45.16129032,11.5344177,78.78816295,16.12903226,2.959732566,29.29833195
